arch,strategy,seed,fold,n_images,accuracy,macro_f1
nasnet_mobile,frozen,2,4,295,0.810169491525421,0.8056463172837348
nasnet_mobile,frozen,3,0,290,0.7517241379310319,0.7606034706029551
nasnet_mobile,frozen,3,1,313,0.7923322683706044,0.7867359735437232
nasnet_mobile,frozen,3,2,335,0.8149253731343259,0.8089540620858897
nasnet_mobile,frozen,3,3,297,0.7811447811447785,0.7891296394776526
nasnet_mobile,frozen,3,4,295,0.7593220338983024,0.7655217547706953
resnet_50,finetuned,1,0,290,0.7620689655172387,0.7694543910994492
resnet_50,finetuned,1,1,313,0.8083067092651731,0.7996902206951689
resnet_50,finetuned,1,2,335,0.8626865671641765,0.8587606467414807
resnet_50,finetuned,1,3,297,0.8080808080808053,0.8155448521187333
resnet_50,finetuned,1,4,295,0.8542372881355903,0.8475032349800116
resnet_50,finetuned,2,0,290,0.7862068965517214,0.7897628215394844
resnet_50,finetuned,2,1,313,0.7923322683706044,0.7848060012083599
resnet_50,finetuned,2,2,335,0.8417910447761169,0.8381066979950774
resnet_50,finetuned,2,3,297,0.8350168350168321,0.8414348535201412
resnet_50,finetuned,2,4,295,0.864406779661014,0.8552895752329496
resnet_50,finetuned,3,0,290,0.7724137931034456,0.7796941304341086
resnet_50,finetuned,3,1,313,0.8019169329073457,0.7936082496047749
resnet_50,finetuned,3,2,335,0.8597014925373108,0.8536297114105852
resnet_50,finetuned,3,3,297,0.8316498316498288,0.8386807875317518
resnet_50,finetuned,3,4,295,0.8576271186440648,0.8509854807757536
resnet_50,frozen,1,0,290,0.7551724137931007,0.7620227334455567
resnet_50,frozen,1,1,313,0.7763578274760358,0.7716895008373287
resnet_50,frozen,1,2,335,0.8537313432835795,0.8481074416324607
resnet_50,frozen,1,3,297,0.8316498316498288,0.8386461198894488
resnet_50,frozen,1,4,295,0.8576271186440648,0.8490559732736921
resnet_50,frozen,2,0,290,0.7931034482758593,0.8047432648424167
resnet_50,frozen,2,1,313,0.8115015974440868,0.8035313217049086
resnet_50,frozen,2,2,335,0.8537313432835795,0.8483455099683046
resnet_50,frozen,2,3,297,0.8316498316498288,0.8396075707093175
resnet_50,frozen,2,4,295,0.8610169491525393,0.8550796835531022
resnet_50,frozen,3,0,290,0.7827586206896524,0.7925405566381287
resnet_50,frozen,3,1,313,0.7923322683706044,0.7865565147371035
resnet_50,frozen,3,2,335,0.8328358208955199,0.8267758558937794
resnet_50,frozen,3,3,297,0.8383838383838355,0.8449242868337845
resnet_50,frozen,3,4,295,0.8338983050847428,0.8304673843642337
