arch,strategy,seed,class,support,precision,recall,f1
convnext_tiny,finetuned,2,dermatitis,253,0.7251908396946537,0.7509881422924871,0.7378640776694001
convnext_tiny,finetuned,2,flea_allergy,251,0.7919999999999968,0.7888446215139411,0.7904191616761435
convnext_tiny,finetuned,2,fungus,260,0.8067796610169463,0.9153846153846118,0.8576576576571564
convnext_tiny,finetuned,2,ringworm,256,0.8539325842696597,0.8906249999999964,0.8718929254297071
convnext_tiny,finetuned,2,scabies,254,0.8205128205128164,0.6299212598425172,0.7126948775050735
convnext_tiny,finetuned,3,demodicosis,256,0.9808429118773908,0.999999999999996,0.9903288201155502
convnext_tiny,finetuned,3,dermatitis,253,0.7142857142857119,0.8498023715414986,0.7761732851980567
convnext_tiny,finetuned,3,flea_allergy,251,0.8528138528138491,0.7848605577689212,0.8174273858916136
convnext_tiny,finetuned,3,fungus,260,0.8345323741007163,0.8923076923076888,0.8624535315980102
convnext_tiny,finetuned,3,ringworm,256,0.8615384615384581,0.8749999999999966,0.8682170542630625
convnext_tiny,finetuned,3,scabies,254,0.8542713567839153,0.6692913385826745,0.7505518763791951
