arch,strategy,class,support,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
nasnet_mobile,frozen,fungus,260.0,0.7790855108251037,0.021479586125512352,0.764102564102561,0.03489912202260552,0.7708477694276001,0.008934722627898638
nasnet_mobile,frozen,ringworm,256.0,0.8298328702297485,0.024468306477700694,0.79817708333333,0.01926907368092271,0.8135746470175795,0.018204536726547028
nasnet_mobile,frozen,scabies,254.0,0.6774664681323147,0.056516253123070605,0.6863517060367427,0.032065070138767936,0.6803005275774133,0.02481642127301977
resnet_50,finetuned,demodicosis,256.0,0.9896383552307336,0.002154466873624985,0.9934895833333294,0.00813150781041451,0.9915426500767911,0.003026760038405946
resnet_50,finetuned,dermatitis,253.0,0.723127189231017,0.022608762002329877,0.7312252964426849,0.0,0.7270352620436613,0.011428291826947776
resnet_50,finetuned,flea_allergy,251.0,0.8389100002651636,0.010828880994101056,0.7875166002656012,0.021942512140581974,0.8122441456233691,0.011055596568283674
resnet_50,finetuned,fungus,260.0,0.7736521609598225,0.0036522367046536827,0.8499999999999966,0.01676499593669484,0.8099692902115057,0.007436898077267778
resnet_50,finetuned,ringworm,256.0,0.8329437497653078,0.006646991157697794,0.8697916666666631,0.00813150781041452,0.8509523809518779,0.0057735026918962614
resnet_50,finetuned,scabies,254.0,0.7842947882988277,0.018262491863155858,0.7047244094488162,0.020832687488697474,0.7421747905867102,0.012615107923990293
resnet_50,frozen,demodicosis,256.0,0.9921721813725451,0.003898613257860695,0.9895833333333294,0.0022552744890219838,0.990875224233025,0.002979290005972822
resnet_50,frozen,dermatitis,253.0,0.7666861103496663,0.011802948154053208,0.7509881422924872,0.04454319236989964,0.7580540606648595,0.018004860062388616
resnet_50,frozen,flea_allergy,251.0,0.8402710402710366,0.01803733665513546,0.7596281540504618,0.004600400551311755,0.7978181896323181,0.00583121622892447
resnet_50,frozen,fungus,260.0,0.7942546038622474,0.019555422515275964,0.8397435897435864,0.02472730964357159,0.8161690723246752,0.015831997734618786
resnet_50,frozen,ringworm,256.0,0.8129986688062812,0.05025953531620535,0.8658854166666633,0.027713276892959177,0.8374886842024631,0.019478387082730555
resnet_50,frozen,scabies,254.0,0.725996875996873,0.02439119683365,0.7165354330708634,0.021920332137126002,0.7208061888418863,0.008502556704361067
